"","X","Date","County","State","FREQUENCY"
"251",251,"03/21/2020 5:00","Osceola","Florida",8
"252",252,"03/21/2020 5:00","Palm Beach","Florida",14
"253",253,"03/21/2020 5:00","Pinellas","Florida",6
"254",254,"03/21/2020 5:00","Polk","Florida",1
"255",255,"03/21/2020 5:00","Sarasota","Florida",6
"256",256,"03/21/2020 5:00","Seminole","Florida",4
"257",257,"03/21/2020 5:00","St. Johns","Florida",2
"258",258,"03/21/2020 5:00","St. Lucie","Florida",1
"259",259,"03/21/2020 5:00","Sumter","Florida",2
"260",260,"03/21/2020 5:00","Volusia","Florida",2
"261",261,"03/22/2020 5:00","Alachua","Florida",5
"262",262,"03/22/2020 5:00","Baker","Florida",2
"263",263,"03/22/2020 5:00","Bradford","Florida",1
"264",264,"03/22/2020 5:00","Brevard","Florida",2
"265",265,"03/22/2020 5:00","Broward","Florida",66
"266",266,"03/22/2020 5:00","Charlotte","Florida",1
"267",267,"03/22/2020 5:00","Citrus","Florida",1
"268",268,"03/22/2020 5:00","Clay","Florida",2
"269",269,"03/22/2020 5:00","Collier","Florida",5
"270",270,"03/22/2020 5:00","Columbia","Florida",1
"271",271,"03/22/2020 5:00","Dade","Florida",83
"272",272,"03/22/2020 5:00","Desoto","Florida",1
"273",273,"03/22/2020 5:00","Duval","Florida",6
"274",274,"03/22/2020 5:00","Escambia","Florida",4
"275",275,"03/22/2020 5:00","Flagler","Florida",3
"276",276,"03/22/2020 5:00","Highlands","Florida",1
"277",277,"03/22/2020 5:00","Hillsborough","Florida",14
"278",278,"03/22/2020 5:00","Indian River","Florida",2
"279",279,"03/22/2020 5:00","Lake","Florida",3
"280",280,"03/22/2020 5:00","Lee","Florida",10
"281",281,"03/22/2020 5:00","Leon","Florida",1
"282",282,"03/22/2020 5:00","Manatee","Florida",1
"283",283,"03/22/2020 5:00","Marion","Florida",1
"284",284,"03/22/2020 5:00","Martin","Florida",1
"285",285,"03/22/2020 5:00","Monroe","Florida",1
"286",286,"03/22/2020 5:00","Okaloosa","Florida",2
"287",287,"03/22/2020 5:00","Orange","Florida",9
"288",288,"03/22/2020 5:00","Osceola","Florida",2
"289",289,"03/22/2020 5:00","Palm Beach","Florida",28
"290",290,"03/22/2020 5:00","Pasco","Florida",5
"291",291,"03/22/2020 5:00","Pinellas","Florida",9
"292",292,"03/22/2020 5:00","Putnam","Florida",1
"293",293,"03/22/2020 5:00","Sarasota","Florida",5
"294",294,"03/22/2020 5:00","Seminole","Florida",3
"295",295,"03/22/2020 5:00","St. Johns","Florida",8
"296",296,"03/22/2020 5:00","St. Lucie","Florida",2
"297",297,"03/22/2020 5:00","Sumter","Florida",4
"298",298,"03/22/2020 5:00","Volusia","Florida",2
"299",299,"03/23/2020 5:00","Alachua","Florida",2
"300",300,"03/23/2020 5:00","Broward","Florida",40
"301",301,"03/23/2020 5:00","Collier","Florida",2
"302",302,"03/23/2020 5:00","Columbia","Florida",1
"303",303,"03/23/2020 5:00","Dade","Florida",38
"304",304,"03/23/2020 5:00","Duval","Florida",7
"305",305,"03/23/2020 5:00","Escambia","Florida",4
"306",306,"03/23/2020 5:00","Flagler","Florida",1
"307",307,"03/23/2020 5:00","Highlands","Florida",1
"308",308,"03/23/2020 5:00","Hillsborough","Florida",17
"309",309,"03/23/2020 5:00","Indian River","Florida",2
"310",310,"03/23/2020 5:00","Lake","Florida",3
"311",311,"03/23/2020 5:00","Lee","Florida",1
"312",312,"03/23/2020 5:00","Manatee","Florida",3
"313",313,"03/23/2020 5:00","Marion","Florida",1
"314",314,"03/23/2020 5:00","Martin","Florida",2
"315",315,"03/23/2020 5:00","Orange","Florida",11
"316",316,"03/23/2020 5:00","Osceola","Florida",2
"317",317,"03/23/2020 5:00","Palm Beach","Florida",7
"318",318,"03/23/2020 5:00","Pasco","Florida",1
"319",319,"03/23/2020 5:00","Pinellas","Florida",4
"320",320,"03/23/2020 5:00","Polk","Florida",3
"321",321,"03/23/2020 5:00","Santa Rosa","Florida",1
"322",322,"03/23/2020 5:00","Sarasota","Florida",3
"323",323,"03/23/2020 5:00","Seminole","Florida",4
"324",324,"03/23/2020 5:00","St. Johns","Florida",3
"325",325,"03/23/2020 5:00","St. Lucie","Florida",2
"326",326,"03/23/2020 5:00","Sumter","Florida",5
"327",327,"03/23/2020 5:00","Volusia","Florida",3
"328",328,"03/23/2020 5:00","Walton","Florida",2
"329",329,"03/24/2020 5:00","Alachua","Florida",9
"330",330,"03/24/2020 5:00","Baker","Florida",1
"331",331,"03/24/2020 5:00","Brevard","Florida",3
"332",332,"03/24/2020 5:00","Broward","Florida",40
"333",333,"03/24/2020 5:00","Clay","Florida",5
"334",334,"03/24/2020 5:00","Collier","Florida",5
"335",335,"03/24/2020 5:00","Dade","Florida",87
"336",336,"03/24/2020 5:00","Duval","Florida",1
"337",337,"03/24/2020 5:00","Escambia","Florida",5
"338",338,"03/24/2020 5:00","Flagler","Florida",1
"339",339,"03/24/2020 5:00","Hernando","Florida",3
"340",340,"03/24/2020 5:00","Highlands","Florida",2
"341",341,"03/24/2020 5:00","Hillsborough","Florida",17
"342",342,"03/24/2020 5:00","Indian River","Florida",2
"343",343,"03/24/2020 5:00","Lake","Florida",4
"344",344,"03/24/2020 5:00","Lee","Florida",9
"345",345,"03/24/2020 5:00","Leon","Florida",2
"346",346,"03/24/2020 5:00","Manatee","Florida",5
"347",347,"03/24/2020 5:00","Marion","Florida",1
"348",348,"03/24/2020 5:00","Monroe","Florida",4
"349",349,"03/24/2020 5:00","Okaloosa","Florida",1
"350",350,"03/24/2020 5:00","Orange","Florida",20
"351",351,"03/24/2020 5:00","Osceola","Florida",9
"352",352,"03/24/2020 5:00","Palm Beach","Florida",14
"353",353,"03/24/2020 5:00","Pasco","Florida",3
"354",354,"03/24/2020 5:00","Pinellas","Florida",4
"355",355,"03/24/2020 5:00","Polk","Florida",2
"356",356,"03/24/2020 5:00","Putnam","Florida",2
"357",357,"03/24/2020 5:00","Santa Rosa","Florida",2
"358",358,"03/24/2020 5:00","Sarasota","Florida",1
"359",359,"03/24/2020 5:00","Seminole","Florida",7
"360",360,"03/24/2020 5:00","St. Johns","Florida",3
"361",361,"03/24/2020 5:00","St. Lucie","Florida",2
"362",362,"03/24/2020 5:00","Sumter","Florida",2
"363",363,"03/24/2020 5:00","Volusia","Florida",4
"364",364,"03/24/2020 5:00","Walton","Florida",1
"365",365,"03/25/2020 5:00","Alachua","Florida",1
"366",366,"03/25/2020 5:00","Baker","Florida",1
"367",367,"03/25/2020 5:00","Bay","Florida",2
"368",368,"03/25/2020 5:00","Brevard","Florida",1
"369",369,"03/25/2020 5:00","Broward","Florida",119
"370",370,"03/25/2020 5:00","Clay","Florida",4
"371",371,"03/25/2020 5:00","Collier","Florida",15
"372",372,"03/25/2020 5:00","Dade","Florida",149
"373",373,"03/25/2020 5:00","Desoto","Florida",3
"374",374,"03/25/2020 5:00","Duval","Florida",8
"375",375,"03/25/2020 5:00","Escambia","Florida",4
"376",376,"03/25/2020 5:00","Flagler","Florida",1
"377",377,"03/25/2020 5:00","Highlands","Florida",1
"378",378,"03/25/2020 5:00","Hillsborough","Florida",33
"379",379,"03/25/2020 5:00","Lake","Florida",3
"380",380,"03/25/2020 5:00","Lee","Florida",13
"381",381,"03/25/2020 5:00","Leon","Florida",1
"382",382,"03/25/2020 5:00","Manatee","Florida",2
"383",383,"03/25/2020 5:00","Martin","Florida",3
"384",384,"03/25/2020 5:00","Monroe","Florida",4
"385",385,"03/25/2020 5:00","Nassau","Florida",3
"386",386,"03/25/2020 5:00","Okaloosa","Florida",4
"387",387,"03/25/2020 5:00","Orange","Florida",23
"388",388,"03/25/2020 5:00","Osceola","Florida",5
"389",389,"03/25/2020 5:00","Palm Beach","Florida",40
"390",390,"03/25/2020 5:00","Pasco","Florida",2
"391",391,"03/25/2020 5:00","Pinellas","Florida",8
"392",392,"03/25/2020 5:00","Polk","Florida",3
"393",393,"03/25/2020 5:00","Putnam","Florida",8
"394",394,"03/25/2020 5:00","Santa Rosa","Florida",2
"395",395,"03/25/2020 5:00","Sarasota","Florida",7
"396",396,"03/25/2020 5:00","Seminole","Florida",5
"397",397,"03/25/2020 5:00","St. Johns","Florida",3
"398",398,"03/25/2020 5:00","St. Lucie","Florida",1
"399",399,"03/25/2020 5:00","Sumter","Florida",8
"400",400,"03/25/2020 5:00","Volusia","Florida",8
"401",401,"03/26/2020 5:00","Alachua","Florida",9
"402",402,"03/26/2020 5:00","Baker","Florida",2
"403",403,"03/26/2020 5:00","Brevard","Florida",3
"404",404,"03/26/2020 5:00","Broward","Florida",84
"405",405,"03/26/2020 5:00","Charlotte","Florida",1
"406",406,"03/26/2020 5:00","Citrus","Florida",2
"407",407,"03/26/2020 5:00","Clay","Florida",5
"408",408,"03/26/2020 5:00","Collier","Florida",14
"409",409,"03/26/2020 5:00","Dade","Florida",169
"410",410,"03/26/2020 5:00","Desoto","Florida",1
"411",411,"03/26/2020 5:00","Duval","Florida",18
"412",412,"03/26/2020 5:00","Escambia","Florida",3
"413",413,"03/26/2020 5:00","Flagler","Florida",4
"414",414,"03/26/2020 5:00","Hernando","Florida",1
"415",415,"03/26/2020 5:00","Hillsborough","Florida",21
"416",416,"03/26/2020 5:00","Indian River","Florida",1
"417",417,"03/26/2020 5:00","Lake","Florida",1
"418",418,"03/26/2020 5:00","Lee","Florida",22
"419",419,"03/26/2020 5:00","Leon","Florida",4
"420",420,"03/26/2020 5:00","Manatee","Florida",1
"421",421,"03/26/2020 5:00","Marion","Florida",3
"422",422,"03/26/2020 5:00","Martin","Florida",7
"423",423,"03/26/2020 5:00","Monroe","Florida",3
"424",424,"03/26/2020 5:00","Nassau","Florida",1
"425",425,"03/26/2020 5:00","Okaloosa","Florida",2
"426",426,"03/26/2020 5:00","Orange","Florida",39
"427",427,"03/26/2020 5:00","Osceola","Florida",10
"428",428,"03/26/2020 5:00","Palm Beach","Florida",29
"429",429,"03/26/2020 5:00","Pasco","Florida",3
"430",430,"03/26/2020 5:00","Pinellas","Florida",14
"431",431,"03/26/2020 5:00","Polk","Florida",8
"432",432,"03/26/2020 5:00","Santa Rosa","Florida",3
"433",433,"03/26/2020 5:00","Sarasota","Florida",3
"434",434,"03/26/2020 5:00","Seminole","Florida",12
"435",435,"03/26/2020 5:00","St. Johns","Florida",9
"436",436,"03/26/2020 5:00","St. Lucie","Florida",3
"437",437,"03/26/2020 5:00","Sumter","Florida",9
"438",438,"03/26/2020 5:00","Suwannee","Florida",1
"439",439,"03/26/2020 5:00","Volusia","Florida",9
"440",440,"03/26/2020 5:00","Washington","Florida",1
"441",441,"03/27/2020 5:00","Alachua","Florida",9
"442",442,"03/27/2020 5:00","Bay","Florida",2
"443",443,"03/27/2020 5:00","Brevard","Florida",8
"444",444,"03/27/2020 5:00","Broward","Florida",100
"445",445,"03/27/2020 5:00","Charlotte","Florida",4
"446",446,"03/27/2020 5:00","Citrus","Florida",3
"447",447,"03/27/2020 5:00","Clay","Florida",3
"448",448,"03/27/2020 5:00","Collier","Florida",10
"449",449,"03/27/2020 5:00","Dade","Florida",188
"450",450,"03/27/2020 5:00","Desoto","Florida",2
"451",451,"03/27/2020 5:00","Duval","Florida",23
"452",452,"03/27/2020 5:00","Escambia","Florida",6
"453",453,"03/27/2020 5:00","Flagler","Florida",3
"454",454,"03/27/2020 5:00","Hernando","Florida",4
"455",455,"03/27/2020 5:00","Highlands","Florida",5
"456",456,"03/27/2020 5:00","Hillsborough","Florida",26
"457",457,"03/27/2020 5:00","Lake","Florida",6
"458",458,"03/27/2020 5:00","Lee","Florida",19
"459",459,"03/27/2020 5:00","Leon","Florida",3
"460",460,"03/27/2020 5:00","Levy","Florida",1
"461",461,"03/27/2020 5:00","Manatee","Florida",5
"462",462,"03/27/2020 5:00","Marion","Florida",5
"463",463,"03/27/2020 5:00","Martin","Florida",8
"464",464,"03/27/2020 5:00","Monroe","Florida",5
"465",465,"03/27/2020 5:00","Nassau","Florida",2
"466",466,"03/27/2020 5:00","Okaloosa","Florida",3
"467",467,"03/27/2020 5:00","Orange","Florida",43
"468",468,"03/27/2020 5:00","Osceola","Florida",13
"469",469,"03/27/2020 5:00","Palm Beach","Florida",72
"470",470,"03/27/2020 5:00","Pasco","Florida",3
"471",471,"03/27/2020 5:00","Pinellas","Florida",11
"472",472,"03/27/2020 5:00","Polk","Florida",8
"473",473,"03/27/2020 5:00","Santa Rosa","Florida",3
"474",474,"03/27/2020 5:00","Sarasota","Florida",11
"475",475,"03/27/2020 5:00","Seminole","Florida",14
"476",476,"03/27/2020 5:00","St. Johns","Florida",9
"477",477,"03/27/2020 5:00","St. Lucie","Florida",7
"478",478,"03/27/2020 5:00","Sumter","Florida",3
"479",479,"03/27/2020 5:00","Volusia","Florida",7
"480",480,"03/27/2020 5:00","Walton","Florida",2
"481",481,"03/28/2020 5:00","Alachua","Florida",3
"482",482,"03/28/2020 5:00","Bay","Florida",1
"483",483,"03/28/2020 5:00","Brevard","Florida",3
"484",484,"03/28/2020 5:00","Broward","Florida",145
"485",485,"03/28/2020 5:00","Charlotte","Florida",8
"486",486,"03/28/2020 5:00","Citrus","Florida",1
"487",487,"03/28/2020 5:00","Clay","Florida",1
"488",488,"03/28/2020 5:00","Collier","Florida",2
"489",489,"03/28/2020 5:00","Dade","Florida",256
"490",490,"03/28/2020 5:00","Duval","Florida",16
"491",491,"03/28/2020 5:00","Escambia","Florida",1
"492",492,"03/28/2020 5:00","Flagler","Florida",1
"493",493,"03/28/2020 5:00","Hendry","Florida",1
"494",494,"03/28/2020 5:00","Hernando","Florida",1
"495",495,"03/28/2020 5:00","Hillsborough","Florida",27
"496",496,"03/28/2020 5:00","Indian River","Florida",1
"497",497,"03/28/2020 5:00","Lake","Florida",6
